,title,label,label_score,len_title
8207,"Kembali Dukung RUU KUHP, Farhat Abbas Bandingkan Soal Pasal Ini Dengan Singapura ",clickbait,1,12
4669,7 Kebakaran di Kabupaten Bandung Terjadi dalam Sehari,non-clickbait,0,8
6719,"Kasus Mobil Pecah Ban, Begini Cara Merawat Karet Bundar",clickbait,1,9
4132,Puwakarta Mulai Antisipasi Bencana Jelang Musim Hujan,non-clickbait,0,7
6189,"Kalahkan Polandia, Spanyol ke Semifinal Piala Dunia Basket FIBA",non-clickbait,0,9
2336,"Alasan Kesehatan dan Umur, Kivlan Zen Ajukan Penangguhan Penahanan",clickbait,1,9
4714,BJ Habibie Wafat Jadi Trending Topic Twitter,non-clickbait,0,7
1922,"Satu Bulan Berstatus Waspada, Bagaimana Kondisi Gunung Slamet?",clickbait,1,8
2707,Fakta Menarik Persaingan Liga Inggris Hingga Pekan ke-4,clickbait,1,8
2108,KCN Dukung Usaha Presiden Jokowi untuk Dorong Investasi,non-clickbait,0,8
364,"Pemkot Surabaya Tawarkan Pengelolaan Hi-Tech Mall Rp 18,5 M",non-clickbait,0,9
6808,Rory McIlroy Pegolf Terbaik Dunia 2019 Pilihan PGA Tour,non-clickbait,0,9
5168,"China Open, Anthony Ginting Ogah Terbebani Status Juara Bertahan",non-clickbait,0,9
1712,"Kami Mencari Tahu Mengapa Cosplayer Menyukai Kostum Karakter, Ini Jawabannya...",clickbait,1,10
1431,"Sinopsis Sinetron 'ORANG KETIGA' Tayang Selasa, 7 Mei 2019",non-clickbait,0,9
2005,"Dibahas Tertutup, DPR dan Pemerintah Sepakati RKUHP",non-clickbait,0,7
43,Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji,non-clickbait,0,10
8476,Reaksi Imut Ong Sung Woo Usai Ngaku Gagal Diet Sukses Bikin Fans Gemas,clickbait,1,13
6627,"China Open 2019: Langsung Kandas di Babak 1, Begini Kata Fitriani",clickbait,1,11
3986,"Hadapi Era Digital, OJK Gandeng Otoritas Keuangan Korsel",non-clickbait,0,8
2929,Matikan GPS dan Kegiatan Sehari-hari Ini Ternyata Bisa Bikin Cerdas,clickbait,1,10
4395,Pondok Pesantren Nurul Huda Hidupkan Desa Kertawangunan,non-clickbait,0,7
3908,Viral! Pengendara RX King Tersungkur Kena Tendangan Maut Pak Polisi,clickbait,1,10
5812,"Kasus Dugaan Penipuan, Polisi Akan Periksa Pendiri Kaskus",non-clickbait,0,8
2002,Pemkot Jakarta Utara Akan Pasang Alat Pengukur Kualitas Udara di Lokasi Peleburan Alumunium,non-clickbait,0,13
4175,Begini Cara Mengenal Saus Cabai Berkualitas,clickbait,1,6
363,"Bubarkan Diri, Peserta Aksi 'Gejayan Memanggil' Punguti Sampah",non-clickbait,0,8
5699,"Babak I: Timnas Indonesia U-16 vs Mariana Utara 6-1, Athallah Cetak Quattrick",non-clickbait,0,12
3395,Ini Amalan Sebelum Salat Istisqa untuk Minta Hujan,clickbait,1,8
7894,Lee Hi Terharu Usai Dapat Kejutan dari Fans Indonesia Saat Tampil di Super K-Pop Festival 2019,clickbait,1,16
5395,Jabar Raih Dua Penghargaan dalam APN 2019,non-clickbait,0,7
4095,"Hari Ini Jack Ma Pensiun, Siapa Penggantinya?!",clickbait,1,7
6301,Ini Rahasia Handling Honda Genio Lebih Enteng dan Gesit,clickbait,1,9
6005,"Pabrik Arang Ditutup, Pemkot Jakarta Utara Janji Berikan Bantuan",non-clickbait,0,9
891,4 Tanda Pasangan Siap Berkomitmen dalam Hubungan,clickbait,1,7
5143,Penjualan Tiket Konser Shawn Mendes di Jakarta Kembali Dibuka,non-clickbait,0,9
1766,"Diajak Perang Gubernur Maluku, Ini Jawaban Menteri Susi",clickbait,1,8
2583,"Serempet Pejalan Kaki, Pemotor Arogan Ditangkap Polisi",clickbait,1,7
2670,Adik Boy William Meninggal Dunia,non-clickbait,0,5
6246,Menpar: Nomadic Tourism Cocok untuk Akomodasi Papua Barat,non-clickbait,0,8
4694,Costa: Bermain dengan Messi-Suarez adalah Mimpi Griezmann,non-clickbait,0,7
5504,Rupiah Ditutup Membaik Saat Dolar AS Tergelincir,non-clickbait,0,7
4169,"Kebakaran di Pasar Mebel, Kerugian Puluhan Juta Rupiah",non-clickbait,0,8
7115,Respons Natalius Pigai Sikapi Wacana Pembangunan Istana Presiden di Papua,clickbait,1,10
7785,SuperM Bahas Alasan SM Pilih 7 Member Saat Ini dan Persiapan di Preskon Jelang Debut,clickbait,1,15
1404,Ela Dari Lampung Tersingkir Dari AKSI Kloter 5 2019,non-clickbait,0,9
5855,"Terpapar Kabut Asap, 4.000 Warga Kotawaringin Barat, Kalteng Terserang ISPA",non-clickbait,0,10
2964,Cerita BJ Habibie Muda yang Mampu Selesaikan Soal Sulit Hanya 20 Menit,clickbait,1,12
3626,"Melemah 1,77%, IHSG Dibuka Merah ke 6.222   ",non-clickbait,0,7
1245,"Penampilan Song Joong Ki di Drama Baru, Kulit Cokelat & Tubuh Makin Kekar",non-clickbait,0,13
4493,"Misi Jelajah Bulan India Bawa 'Penumpang': Hapir Sukses, Tapi Sayangnya....",clickbait,1,10
4038,Pertamina Pastikan Kesiapan Pasokan Avtur BIJB Kertajati,non-clickbait,0,7
6613,Cerita Marselino Ferdinan Soal Ucapan Bima Sakti di Ruang Ganti,clickbait,1,10
3836,Gawat!!! Titik Api di Sumatera dan Kalimantan Makin Banyak,clickbait,1,9
4576,PBB dan OKI Minta India Akhiri Pelanggaran HAM di Kashmir,non-clickbait,0,10
6678,Ombudsman: Kenaikan Iuran BPJS Kesehatan Tak Selesaikan Masalah,non-clickbait,0,8
288,"Munarman: Tak di Kertanegara 17 April, Ketum FPI Bingung Dipanggil Polisi",non-clickbait,0,11
7373,Sriwijaya Air Berhentikan 3 Eks Bos Garuda Indonesia?,clickbait,1,8
7679,Reaksi Hotman Paris Usai 'Hotman Paris Show' Ditegur KPI,clickbait,1,9
5093,Tiga Pelaku Pembalakan Hutan di Riau Diangkut dengan Helikopter,non-clickbait,0,9
1016,"3 Racikan Tepung Beras untuk Perawatan Kulit, Pernah Coba?",clickbait,1,9
7187,"Sakit Hati Cintanya Ditolak, Ravindra Nekat Tusuk Gadis Idamannya, Korban Sempat Dipeluk",clickbait,1,12
7866,"Rumah Opick Kebakaran Saat Ditinggal ke Luar Kota, Kerugian Diperkirakan Capai Ratusan Juta",clickbait,1,13
8209,"Kostum Pangggung Nayeon Cs Dinilai Jelek dan Norak, Stylist Twice Banjir Kritikan",clickbait,1,12
1830,"PPP Sebut Capim Tak Setuju Revisi UU KPK Sulit Terpilih, ICW Nilai Bentuk Penyanderaan",non-clickbait,0,14
2841,"Bank Mandiri Telah Salurkan KUR untuk Sektor Wisata Rp 2,48 Triliun",non-clickbait,0,11
6077,Hasil Lengkap Liga Champions Rabu Dinihari: Penuh Kejutan,clickbait,1,8
7389,"Fakta Jokowi Bertemu Tokoh Papua: Peran Kepala BIN Budi Gunawan, Eks Timses Jadi Ketua Rombongan",clickbait,1,15
6643,Penjelasan Inisiator Kenapa Esemka Masih Pakai Onderdil Cina,clickbait,1,8
4575,Fraksi Demokrat Siap Bantu Jokowi di Parlemen,non-clickbait,0,7
531,Waketum Gerindra soal Pemukulan Anggota DPRD Sumut: Harusnya Polisi Persuasif,non-clickbait,0,10
3448,"Kejutan, Shesar Singkirkan Jonatan Christie di Babak Pertama China Open 2019",clickbait,1,11
7005,ILS Cat-1 Bantu Pendaratan Pesawat di Jambi saat Kabut Asap,non-clickbait,0,10
1220,Tak Jadi Anak Emas Jokowi. Begini Tanggapan Kaesang Pangarep,clickbait,1,9
1071,'LET ME LOVE YOU' Milik DJ Snake Sebenarnya Diciptakan Untuk CL 2NE1?,clickbait,1,12
2474,"Potret Kemiskinan, Keluarga di Karawang Ini Tinggal di Gubuk Mirip Kandang Ayam",clickbait,1,12
5735,Ini Jumlah Total Karakter Utama di Manga One Piece,clickbait,1,9
3198,Pemerintah Baru Terima Ganti Rugi Rp400 M dari Perusahaan Pembakar Lahan,non-clickbait,0,11
4826,Habibie Ingin ICMI Berperan Membenahi Pendidikan Islam,non-clickbait,0,7
2874,"Digoda MU, Fokus Gelandang Newcastle Terganggu",clickbait,1,6
4111,Ini Daftar 11 Perusahaan Indonesia Terbaik se-Asia Pasifik,clickbait,1,8
5510,"Bantu Dunia Usaha Selesaikan Utang-Piutang, AKPI Harus Tingkatkan Kompetensi",non-clickbait,0,9
1456,"Hadiri New York Fashion Week, Hadiah Kehormatan Pemenang TRESemme The Runway 2019",non-clickbait,0,12
4641,"Didakwa Terima Suap Bersama Menag, Ini Reaksi Romi",clickbait,1,8
7798,Inul Daratista Dipuji Istri Salehah Usai Ikatkan Tali Sepatu Suami,clickbait,1,10
2286,"Ribuan Ikan Mati di Ambon, BMKG Sebut Tak Berhubungan dengan Tsunami",non-clickbait,0,11
1625,Lucunya Lee Dong Wook Tak Bisa Berhenti Menangis Karena Ini!,clickbait,1,10
1580,"Jokowi Hadiri Nikahan Wartawan, Ternyata Anak Seleb Terkenal",clickbait,1,8
7648,"Intip Kerja Keras Luna Maya Bentuk Bodi, Aksi Gelantungan Sampai Wajah Merah Bikin Salut",clickbait,1,14
1430,"Sinopsis Drama W, Episode 16, Happy Ending yang Dicari Lee Jong Suk & Han Hyo Joo",non-clickbait,0,16
4813,Ini Komentar Kemenag Soal Visa Umrah Berbayar,clickbait,1,7
4443,Pemkot Bekasi Gandeng Swasta untuk Kelola Sampah Jadi Listrik,non-clickbait,0,9
4458,Jupe Optimistis Persib Kalahkan PS Tira Persikabo,non-clickbait,0,7
5636,Bea Cukai Ternate Ekspor Perdana Komoditas Rempah Pala,non-clickbait,0,8
2156,"Pakai Masker, Warga Bentangkan Spanduk ""Riau Dibakar Bukan Terbakar"" di CFD",non-clickbait,0,11
6990,Timnas U-16 Ikuti Kualifikasi Piala AFC U-16: Ini Harga Tiketnya,clickbait,1,10
856,Simpang Tiga Gejayan Masih Jadi Panggung Orasi Demo Mahasiswa,non-clickbait,0,9
5197,"PSG Dominan, Awal Buruk Madrid di Paris",non-clickbait,0,7
2479,Demokrat Tunggu Rekomendasi DPP terkait Pimpinan DPRD DKI,non-clickbait,0,8
7939,Falcon Pictures Disomasi Wartawan Senior atas Pelanggaran Hak Cipta di Film 'Warkop DKI Reborn',non-clickbait,0,14
2868,"Melanie Soebono Dapat Pesan Terakhir BJ Habibie, Apa Katanya?",clickbait,1,9
141,Gubernur Khofifah Gandeng ISEI Kembangkan One Pesantren One Product,non-clickbait,0,9
6032,"Negara Kucurkan Dana Darurat Rp 1,1 Triliun Atasi Kebakaran Hutan",non-clickbait,0,10
3229,Saham Perusahaan Energi Ini Meroket Imbas Serangan Drone,clickbait,1,8
1650,"2 Lokalisasi di Kepri Ditutup, 56 PSK Dipulangkan ke Kampung Halaman",non-clickbait,0,11
3619,"Dari Sudut Pandang Akademis, Revisi UU KPK Dinilai Perlu Dilakukan",non-clickbait,0,10
1520,15 Pasangan Seleb Korea yang Cinlok Tak Berakhir Bahagia: Putus - Cerai,clickbait,1,12
2772,"Teka-Teki Kasus Korupsi Berjamaah DPRD Garut, Siapa Tersangkut?",clickbait,1,8
1061,"Lama Tiada Kabar, Bubu Mantan Kekasih Syahrini Kunjungi Aisyahrani dan Keluarga",non-clickbait,0,11
4045,"Dukungan Mengalir, Ribuan Dosen Tolak Revisi UU KPK",non-clickbait,0,8
5601,"Kontribusi Besar ke Perekonomian, Pemerintah Diminta Serius Kembangkan UMKM",non-clickbait,0,9
3200,Cerita Beby Tsabina Jadi Host Dadakan untuk Red Velvet   ,clickbait,1,9
1669,"Taliban: Ada 2 Cara Mengakhiri Pendudukan di Afghanistan, Jihad atau Negosiasi",non-clickbait,0,11
2976,Kementerian PUPR Gandeng TNI Pelihara Sungai di Jabodetabek,non-clickbait,0,8
5180,"Gelar Business Matching, Japnas-YEND Indonesia Jajaki Pasar ASEAN",non-clickbait,0,8
5863,Olah TKP Ledakan di Mako Brimob Semarang Ditunda,non-clickbait,0,8
1027,"Makan Makanan Berserat Bisa Cegah Kanker, Ini Alasannya",clickbait,1,8
1748,Apa Beda Penarikan dan Pencabutan Paspor? Ini Penjelasan Pakar Hukum,clickbait,1,10
5954,"Ibu Kota Pindah, Investasi Riil Kaltim Diprediksi Naik 47,7%",non-clickbait,0,9
1494,"Penghasilan Verrell Bramasta 3 Bulan Jadi Youtuber, Bisa Beli 2 Mobil!",clickbait,1,11
7430,Link Live Streaming Man United vs Astana Dini Hari Nanti Via Vidio.com Premier: Siaran Langsung SCTV,non-clickbait,0,16
3863,"Menikmati Eksotisnya Sungai Berdinding Batu Raksasa di Tarean, Sergai",non-clickbait,0,9
3591,"Jelang Hadapi PSG di Liga Champions 2019-2020, Ini yang Diwaspadai Madrid",clickbait,1,11
1006,"Dikabarkan Jalin Asmara dengan Jungkook BTS, Perempuan Ini Minta Maaf",clickbait,1,10
4368,Bappenas: Ruang Terbuka Hijau Ibu Kota Baru 50 Persen,non-clickbait,0,9
8225,"Iqbaal Ramadhan Beber Alasan Pernah Potong Botak, Dandanan Nyentrik Malah Bikin Salfok",clickbait,1,12
3541,"Jarang Umbar Kemesraan, Glenn Fredly Unggah Video Istri Menggulung Papeda",clickbait,1,10
2989,"Perang Dagang Mereda, IHSG Diprediksi ke Zona Hijau",non-clickbait,0,8
22,"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",non-clickbait,0,11
6216,Ini Daftar Juara Piala Dunia Basket FIBA dari Tahun ke Tahun,clickbait,1,11
1176,Rapper Nipsey Hussle Tewas Setelah Ditembak Bertubi-tubi di Depan Tokonya,non-clickbait,0,10
755,"Sumsel Dikepung Asap, Gubernur Pergi Kunker ke Malaysia",non-clickbait,0,8
1803,Berbagai Keluhan Pengendara di Hari Pertama Penerapan Perluasan Ganjil Genap,clickbait,1,10
7989,"Film Picu Kontroversi, Ini Alasan Gong Yoo dan Jung Yu Mi Setuju Bintangi 'Kim Ji Young: Born 1982'",clickbait,1,18
7620,"Demo Mahasiswa Berakhir Rusuh, Nikita Mirzani Beri Pesan Bijak Ini",clickbait,1,10
4193,Kekerasan terhadap Jurnalis oleh Polisi Hong Kong Meningkat,non-clickbait,0,8
471,Ratusan Pelajar Makassar Dirazia Saat Ingin Berdemo di DPRD Sulsel,non-clickbait,0,10
2525,Prediksi Timnas Indonesia Vs Thailand: Pantang Kalah Lagi!,clickbait,1,8
5290,Trump: Kesepakatan Perdagangan China Bisa Tercapai saat Pilpres AS,non-clickbait,0,9
3927,Jokowi : Prabowo dan Sandi adalah Negarawan Sejati,non-clickbait,0,8
5226,Interaksi Belajar Mengajar lewat Platfrom Digital Diluncurkan,non-clickbait,0,7
5900,"Mulai Hari ini, DKI Berikan Keringanan Pajak Daerah hingga 30 Desember",non-clickbait,0,11
6122,"Kaca Mobil Baret, Begini Cara Menghilangkannya",clickbait,1,6
4802,"Habibie Wafat, R80 Diusulkan Jadi Proyek Strategis Nasional",non-clickbait,0,8
3915,"Jayapura Mencekam! Kantor-kantor Dibakar, Warga Sembunyi di Rumah",clickbait,1,8
3003,Masyarakat Peduli Hukum Gelar Aksi Dukung Revisi UU KPK di Depan Istana,non-clickbait,0,12
1931,Ada Chrisye di Google Doodle Hari Ini,non-clickbait,0,7
2637,"BJ Habibie Meninggal Dunia, Annisa Yudhoyono: Beliau Siap Dipanggil...",clickbait,1,9
2049,Beragam Modifikasi Komunitas buat Kendaraan Listrik ,clickbait,1,6
1326,"Sinopsis Drama W Episode 1, Pertemuan Pertama Han Hyo Joo & Lee Jong Suk",non-clickbait,0,14
5614,Presiden Jokowi Minta Pengesahan RUU KUHP Ditunda,non-clickbait,0,7
7176,Mitha The Virgin Sedih Dengar Republik Cinta Management Milik Ahmad Dhani Bangkrut,non-clickbait,0,12
6919,Konsep SUV PHEV Mitsubishi Siap Debut di Tokyo Motor Show 2019,non-clickbait,0,11
3629,"Gaya Manja Tyas Mirasih Main Bareng Kucing, Masih Tetap Seksi",clickbait,1,10
2148,Rumah Tinggal Terbakar akibat Regulator Tabung Gas Bocor,non-clickbait,0,8
1934,"Minimarket di Cikupa Terbakar, Tiga Unit Pemadam Kebakaran Dikerahkan",non-clickbait,0,9
6166,"Persija Dihantam Persipura 0-2, Apa Dalih Julio Banuelos?",clickbait,1,8
622,Bamsoet ke Jokowi: Ada yang Ribut Sama Istri karena Rapat Maraton RKUHP,non-clickbait,0,12
8308,Solbin Laboum Dibilang Mirip Cowok Usai Tampil Tanpa Make-Up di 'Music Bank',clickbait,1,12
216,Polres Sumedang Buru Penyebar Video Porno Pasangan Dewasa,non-clickbait,0,8
2051,"Ada Ganjil Genap, MRT Naikkan Target Penumpang Jadi 100.000 Per Hari",non-clickbait,0,11
7969,"Demo Mahasiswa Lagi, Jokowi Minta Tak Rusuh Dan Sebut Pemerintah Sangat Mendengar",non-clickbait,0,12
3172,Arti Penting Georgina Rodriguez bagi Cristiano Ronaldo,clickbait,1,7
5679,"Simpang Siur Label Halal Daging Impor, Ini Respons GINSI",clickbait,1,9
3369,"Sebut Liverpool Favorit Juara Liga Inggris, Ancelotti Mulai Psywar",clickbait,1,9
2537,Hatem Ben Arfa dan 7 Pemain Bintang yang Tak Punya Klub,clickbait,1,11
1963,"Dituduh AS Serang Pabrik Minyak Arab Saudi, Iran Siap Perang",non-clickbait,0,10
